country|quarter|coviddeaths|fullvax|econsupport|gci|gci_institutions|population|grocerymob|retailmob|workmob|stringency|rgdpqoqsa
Denmark|2020Q2|0.08844598346180327|0.0|78.15934065934066|81.17489789|77.39979262|5.822763|-1.6813186813186813|-13.604395604395604|-27.604395604395606|64.81637362637363|-6.00631386
Denmark|2020Q3|0.007728289817050772|0.0|87.5|81.17489789|77.39979262|5.822763|-1.2282608695652173|9.173913043478262|-23.25|52.82152173913043|6.34295034
Denmark|2020Q4|0.11126602827584252|0.0|90.76086956521739|81.17489789|77.39979262|5.822950847826087|-3.869565217391304|-7.206521739130435|-22.48913043478261|46.56782608695652|0.10711022000000002
Denmark|2021Q1|0.19212180728059458|0.03528226237982755|57.77777777777778|81.17489789|77.39979262|5.840045|-10.366666666666667|-33.34444444444444|-31.4|65.87322222222222|-0.02878466
Denmark|2021Q2|0.01969162908847449|0.2623798275526987|50.0|81.17489789|77.39979262|5.840044999999999|2.934065934065934|0.18681318681318682|-17.35164835164835|58.4767032967033|2.46899549
Denmark|2021Q3|0.02106148154680315|0.9448060759805789|27.717391304347824|81.17489789|77.39979262|5.840045|6.608695652173913|16.58695652173913|-18.92391304347826|37.34782608695652|1.29404131
Denmark|2021Q4|0.10683778872048544|1.1914969407922993|0.0|81.17489789|77.39979262|5.84040777173913|2.2065217391304346|7.119565217391305|-19.706521739130434|36.65152173913044|2.83753178
Estonia|2020Q1|0.0030100331931410375|0.0|17.994505494505493|70.90713997|70.22826735|1.328889|-2.2637362637362637|-6.362637362637362|-8.824175824175825|11.66043956043956|0.7160762699999998
Estonia|2020Q2|0.048913039388541864|0.0|72.11538461538461|70.90713997|70.22826735|1.328889|-4.846153846153846|-23.67032967032967|-32.07692307692308|58.29241758241758|-6.75218308
Estonia|2020Q3|-0.0037625414914262975|0.0|50.0|70.90713997|70.22826735|1.328889|8.978260869565217|5.869565217391305|-22.902173913043477|33.7395652173913|4.72560945
Estonia|2020Q4|0.12416186809994369|7.518412592438883e-06|50.0|70.90713997|70.22826735|1.3289018152173913|3.7717391304347827|-9.206521739130435|-17.891304347826086|41.81130434782609|2.78023803
Estonia|2021Q1|0.5059891674711368|0.1426242868785656|63.333333333333336|70.90713997|70.22826735|1.330068|-4.566666666666666|-29.955555555555556|-25.58888888888889|49.11600000000001|2.66349435
